Subject,Number,Course_Title,Primary_Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,avg_prof_gpa
AAS,100,Intro Asian American Studies,"Arai, Sayuri",13,41,15,10,10,5,4,0,0,0,0,0,0,0,3.64
AAS,100,Intro Asian American Studies,"Arnaldo, Constancio",1,128,57,24,22,7,3,5,2,0,2,1,2,1,3.58
AAS,100,Intro Asian American Studies,"Atienza, Paul Michael L",6,33,5,1,6,2,2,2,2,0,0,1,1,0,3.5
AAS,100,Intro Asian American Studies,"Carter, Regina S",11,25,6,2,0,0,0,0,0,2,0,1,0,0,3.74
AAS,100,Intro Asian American Studies,"Chung, Ga Young",68,56,11,13,9,3,3,2,2,0,0,1,0,0,3.75
AAS,100,Intro Asian American Studies,"Davis, Thomas E",75,129,13,23,24,8,6,1,2,0,1,0,0,2,3.71
AAS,100,Intro Asian American Studies,"Espiritu, Augusto F",2,17,0,6,5,0,1,0,0,0,1,0,0,0,3.57
AAS,100,Intro Asian American Studies,"Kang, Yoonjung",14,10,8,5,7,3,5,5,2,2,0,3,3,0,3.0
AAS,100,Intro Asian American Studies,"Kim, Sujung",20,29,11,6,0,0,1,0,0,0,0,0,0,0,3.86
AAS,100,Intro Asian American Studies,"Kinase-Leggett, Elizabeth",28,38,22,10,22,4,2,0,0,0,0,0,4,2,3.48
AAS,100,Intro Asian American Studies,"Kwon, Soo Ah",40,20,5,0,4,1,0,0,0,0,0,0,0,0,3.9
AAS,100,Intro Asian American Studies,"Kwon, Yaejoon",16,37,29,40,19,4,6,4,0,0,0,1,2,1,3.41
AAS,100,Intro Asian American Studies,"Lee, Alexander J",34,55,11,8,10,1,2,5,2,0,0,1,3,0,3.59
AAS,100,Intro Asian American Studies,"Lee, Amy J",0,9,5,7,6,3,0,0,0,0,0,0,0,0,3.46
AAS,100,Intro Asian American Studies,"Lee, Jean Y",27,11,18,7,3,2,3,0,1,2,0,0,0,0,3.61
AAS,100,Intro Asian American Studies,"Lee, Sang S",29,84,33,26,33,11,5,12,2,1,0,1,2,1,3.45
AAS,100,Intro Asian American Studies,"Livingston, Susan B",0,44,14,6,2,1,0,0,0,1,0,0,0,0,3.78
AAS,100,Intro Asian American Studies,"Manalansan, Martin F",21,12,0,1,0,0,0,0,0,0,0,0,0,0,3.98
AAS,100,Intro Asian American Studies,"Marasigan, Cynthia L",0,6,7,6,3,4,1,0,0,0,0,0,0,1,3.27
AAS,100,Intro Asian American Studies,"Mariano, Lorena",0,11,11,4,3,3,0,1,0,0,0,0,0,0,3.54
AAS,100,Intro Asian American Studies,"Paik, Angela N",1,5,6,1,3,4,0,1,1,0,2,1,3,0,2.69
AAS,100,Intro Asian American Studies,"Peralta, Christine N",10,109,29,25,8,6,4,2,0,0,2,0,3,0,3.64
AAS,100,Intro Asian American Studies,"Pyon, Heekyong T",5,41,10,3,4,1,0,0,0,0,0,0,0,1,3.77
AAS,100,Intro Asian American Studies,"Sharif, Lila A",10,7,2,2,2,1,0,1,0,0,0,0,1,0,3.56
AAS,100,Intro Asian American Studies,"Thomas, Merin A",38,137,43,25,27,19,5,8,0,1,1,1,9,2,3.49
AAS,100,Intro Asian American Studies,"Tsou, Elda",0,5,15,9,4,1,0,0,0,0,0,0,0,0,3.52
AAS,100,Intro Asian American Studies,"Winkelmann, Marie T",2,44,25,9,2,3,2,3,0,0,3,0,1,0,3.55
AAS,120,Intro to Asian Am Pop Culture,"Arai, Sayuri",4,22,14,16,16,8,18,16,4,2,4,0,0,2,2.9
AAS,120,Intro to Asian Am Pop Culture,"Chin, Christina B",2,15,11,4,13,9,0,3,3,0,1,0,0,0,3.22
AAS,120,Intro to Asian Am Pop Culture,"Eng, Christopher A",1,15,3,2,3,1,1,0,0,0,0,0,0,1,3.54
AAS,120,Intro to Asian Am Pop Culture,"Esguerra, Maria Paz G",6,7,5,2,0,3,3,0,1,0,0,0,1,0,3.35
AAS,120,Intro to Asian Am Pop Culture,"Komaki, Ryuta",0,12,19,18,8,4,0,0,0,0,0,0,0,0,3.48
AAS,120,Intro to Asian Am Pop Culture,"Lee, Alexander J",8,13,8,18,15,7,5,8,1,1,4,0,1,1,3.02
AAS,120,Intro to Asian Am Pop Culture,"Lee, Sandra",0,29,14,11,6,4,0,0,0,0,0,0,0,0,3.64
AAS,120,Intro to Asian Am Pop Culture,"Pham, Vincent N",1,11,18,10,13,13,7,5,2,1,1,1,0,1,3.02
AAS,120,Intro to Asian Am Pop Culture,"Washington, Myra S",4,12,16,12,30,0,2,0,0,2,0,0,0,0,3.33
AAS,200,U.S. Race and Empire,"Sharif, Lila A",7,7,3,1,0,2,1,0,0,0,0,0,0,0,3.71
AAS,211,Asian Americans and the Arts,"Yang, Caroline H",1,14,7,1,0,0,0,0,0,1,0,0,0,0,3.76
AAS,215,US Citizenship Comparatively,"Cacho, Lisa M",2,18,17,11,8,12,3,4,3,2,1,2,3,1,2.99
AAS,246,Asian American Youth in Film,"Kwon, Soo Ah",1,76,20,5,13,4,1,1,1,0,0,0,0,1,3.69
AAS,258,Muslims in America,"Rana, Junaid",7,61,46,6,0,3,0,0,0,0,0,0,0,1,3.78
AAS,287,Food and Asian Americans,"Manalansan, Martin F",9,116,6,9,5,4,3,0,0,0,0,0,1,1,3.8
AAS,315,"War, Memory, and Cinema","Ngo, Fiona",0,7,6,5,4,5,1,0,0,0,0,0,0,0,3.37
AAS,365,Asian American Media and Film,"Arai, Sayuri",1,4,6,4,5,1,3,2,2,0,0,1,0,0,3.03
AAS,365,Asian American Media and Film,"Cagle, Robert L",6,15,0,0,1,0,3,1,1,0,0,0,2,0,3.37
ABE,100,Intro Agric & Biological Engrg,"Green, Angela R",0,238,0,0,98,0,0,12,0,0,6,0,3,0,3.57
ABE,141,ABE Principles: Biological,"Bhalerao, Kaustubh",18,41,37,19,10,5,3,1,0,0,2,0,6,0,3.45
ABE,141,ABE Principles: Biological,"Danao, Mary-Grace",7,36,23,32,24,9,6,5,3,3,2,0,1,0,3.27
ABE,199,Water in the Global Environ,"Kalita, Prasanta K",2,18,0,1,0,0,0,0,0,0,0,0,0,0,3.97
ABE,221,Agric & Biological Engrg I,"Grift, Tony E",0,33,0,14,13,0,2,1,0,0,0,0,0,0,3.56
ABE,222,Agric & Biological Engrg II,"Rodriguez, Luis F",0,10,3,9,11,2,1,3,1,4,0,0,2,0,2.93
ABE,223,ABE Principles: Machine Syst,"Grift, Tony E",13,238,43,18,84,9,7,29,1,2,5,2,0,2,3.49
ABE,224,ABE Principles: Soil & Water,"Bhattarai, Rabin",2,56,18,9,6,0,0,0,0,0,0,0,2,0,3.72
ABE,224,ABE Principles: Soil & Water,"Kalita, Prasanta K",51,210,5,27,37,2,8,11,6,0,5,0,5,5,3.56
ABE,225,ABE Principles: Bioenvironment,"Zhang, Yuanhui",9,55,29,42,62,9,3,11,1,0,2,0,5,1,3.25
ABE,226,ABE Principles: Bioprocessing,"Singh, Vijay",25,42,44,41,32,9,10,10,7,1,1,2,3,1,3.27
ABE,341,Transport Processes in ABE,"Danao, Mary-Grace",2,8,4,5,10,7,6,6,2,1,2,0,0,0,2.88
ABE,341,Transport Processes in ABE,"Rausch, Kent D",0,14,11,6,11,7,1,0,1,1,1,0,0,0,3.29
ABE,361,Off-Road Machine Design,"Hansen, Alan C",2,14,11,4,3,4,1,4,0,0,0,1,3,0,3.16
ABE,425,Engrg Measurement Systems,"Grift, Tony E",17,130,10,27,24,6,4,4,0,0,0,0,1,0,3.68
ABE,430,Project Management,"Davidson, Paul C",0,328,23,11,8,0,0,0,0,1,1,0,2,0,3.9
ABE,430,Project Management,"Schideman, Lance C",1,59,39,55,141,30,10,20,6,0,0,0,0,0,3.17
ABE,430,Project Management,"Zahos, Stephen C",0,9,9,27,10,8,1,1,0,0,0,0,0,0,3.3
ABE,436,Renewable Energy Systems,"Wang, Xinlei",30,70,75,98,78,30,15,13,3,0,4,0,2,1,3.31
ABE,446,Biological Nanoengineering,"Bhalerao, Kaustubh",1,6,12,2,0,1,0,0,0,0,0,0,0,0,3.7
ABE,456,Land & Water Resources Engrg,"Kalita, Prasanta K",0,35,1,2,4,0,0,1,0,0,0,0,0,0,3.82
ABE,457,NPS Pollution Processes,"Kalita, Prasanta K",2,16,0,1,2,0,0,0,0,0,0,0,0,0,3.87
ABE,466,Engineering Off-Road Vehicles,"Hansen, Alan C",11,54,83,54,32,27,15,10,4,0,3,0,3,0,3.3
ABE,469,Industry-Linked Design Project,"Zahos, Stephen C",1,87,87,42,31,11,3,0,0,0,0,0,0,0,3.59
ABE,483,Engrg Properties of Food Matls,"Rausch, Kent D",0,16,0,0,6,0,0,2,0,0,0,0,0,0,3.58
ABE,488,Bioprocessing Biomass for Fuel,"Singh, Vijay",24,61,39,35,15,12,6,6,1,0,0,0,0,1,3.52
ABE,498,Intro to Field Robotics,"Chowdhary, Girish",3,9,2,3,5,1,0,0,0,0,0,0,0,0,3.61
ABE,501,Graduate Research I,"Zhang, Yuanhui",0,20,0,1,0,0,0,0,0,0,1,0,0,0,3.83
ACCY,200,Fundamentals of Accounting,"Finnegan, Thomas",5,94,2,6,0,0,0,0,0,0,0,0,0,0,3.96
ACCY,200,Fundamentals of Accounting,"Li, Wei",17,21,14,9,0,1,0,0,0,0,0,0,0,0,3.81
ACCY,200,Fundamentals of Accounting,"Polinski, Paul W",0,13,12,6,0,0,0,0,0,0,0,0,0,0,3.74
ACCY,200,Fundamentals of Accounting,"Silhan, Peter A",84,824,554,484,476,373,292,211,134,61,80,38,21,0,3.09
ACCY,201,Accounting and Accountancy I,"Arends, Alyssa M",5,9,10,6,7,6,6,2,4,0,3,0,5,0,2.81
ACCY,201,Accounting and Accountancy I,"Arvin, Kyle C",6,8,13,13,17,8,5,7,1,0,2,0,1,0,3.07
ACCY,201,Accounting and Accountancy I,"Braverman, Ian H",7,20,20,24,28,31,10,8,7,0,7,0,5,2,2.88
ACCY,201,Accounting and Accountancy I,"Cantieri, Kristen E",12,9,7,8,6,8,3,2,1,0,2,0,1,0,3.23
ACCY,201,Accounting and Accountancy I,"Cantrell, Andrea M",2,10,23,23,21,4,6,1,0,0,3,0,2,0,3.18
ACCY,201,Accounting and Accountancy I,"Chen, Monica S",9,4,11,4,6,6,7,5,4,0,6,0,5,0,2.67
ACCY,201,Accounting and Accountancy I,"Christiansen, Ryan S",3,11,3,3,4,12,1,4,6,0,3,0,7,0,2.53
ACCY,201,Accounting and Accountancy I,"Coady, Jennifer J",9,6,10,6,5,5,3,6,2,0,5,0,2,0,2.92
ACCY,201,Accounting and Accountancy I,"Daugherty, Mark P",6,23,21,16,18,4,6,2,2,0,1,0,0,0,3.37
ACCY,201,Accounting and Accountancy I,"Davidson, Laura M",25,26,30,20,11,12,8,0,2,0,4,0,0,0,3.42
ACCY,201,Accounting and Accountancy I,"Dieckman, Carissa M",5,11,7,4,6,12,7,5,2,0,0,0,4,0,2.9
ACCY,201,Accounting and Accountancy I,"Ditman, Stephen M",14,39,22,18,17,8,6,4,4,0,0,0,14,2,3.07
ACCY,201,Accounting and Accountancy I,"Donnelly, Brian W",38,24,32,20,4,12,4,12,2,0,2,0,4,0,3.34
ACCY,201,Accounting and Accountancy I,"Doub, James D",3,6,19,17,14,7,7,3,4,0,0,0,0,1,3.11
ACCY,201,Accounting and Accountancy I,"Ellison, Jennifer L",2,6,9,3,3,2,4,4,1,0,7,0,3,0,2.62
ACCY,201,Accounting and Accountancy I,"Ettleson, Daniel A",6,20,26,35,26,21,8,9,5,0,6,0,3,0,3.04
ACCY,201,Accounting and Accountancy I,"Flicher, Jordan A",40,36,30,12,8,16,4,4,4,0,2,0,2,0,3.46
ACCY,201,Accounting and Accountancy I,"Foley, Paul R",4,8,16,10,16,10,10,6,0,0,2,0,0,0,3.07
ACCY,201,Accounting and Accountancy I,"Forsberg, Brian J",2,9,16,12,16,16,5,2,2,0,1,0,1,0,3.09
ACCY,201,Accounting and Accountancy I,"Gebhardt, Abbey L",21,25,23,11,19,15,7,11,10,0,13,0,8,1,2.87
ACCY,201,Accounting and Accountancy I,"Gilpin, Daniel J",28,36,30,10,4,12,6,0,2,0,2,0,2,0,3.51
ACCY,201,Accounting and Accountancy I,"Grubb, Elizabeth A",44,32,30,20,12,12,4,0,4,0,0,0,0,0,3.57
ACCY,201,Accounting and Accountancy I,"Hamilton, Lori C",11,21,14,4,8,5,2,5,2,0,1,0,2,0,3.32
ACCY,201,Accounting and Accountancy I,"Harris, Matthew C",10,14,8,6,2,7,5,3,2,0,1,0,1,1,3.2
ACCY,201,Accounting and Accountancy I,"Hennessy, James E",3,20,30,33,20,16,17,7,7,0,9,0,4,1,2.93
ACCY,201,Accounting and Accountancy I,"Hennessy, Thomas J",0,2,3,0,2,6,2,1,3,0,2,0,2,0,2.38
ACCY,201,Accounting and Accountancy I,"Hsu, Rita S",44,28,30,16,8,12,6,4,2,0,2,0,4,0,3.43
ACCY,201,Accounting and Accountancy I,"Huang, John",9,29,31,30,22,19,13,4,7,0,2,0,1,1,3.18
ACCY,201,Accounting and Accountancy I,"Jain, Ashima",40,44,30,10,14,8,6,6,0,0,0,0,0,0,3.6
ACCY,201,Accounting and Accountancy I,"Jang, Paul H",5,10,14,10,9,7,14,5,3,0,1,0,0,0,3.06
ACCY,201,Accounting and Accountancy I,"Jones, Brock A",21,27,27,20,20,13,12,7,4,0,15,0,4,4,2.97
ACCY,201,Accounting and Accountancy I,"Kiesewetter, Nathalie A",6,11,9,6,4,7,5,2,2,0,0,0,4,2,2.94
ACCY,201,Accounting and Accountancy I,"Korte, Brianne E",15,33,23,15,12,24,7,5,6,0,2,0,7,4,3.04
ACCY,201,Accounting and Accountancy I,"Koziel, Mark C",10,10,20,7,8,7,3,0,0,0,3,0,1,2,3.23
ACCY,201,Accounting and Accountancy I,"Lahr, Tom M",23,31,21,15,11,3,2,1,0,0,1,0,0,0,3.63
ACCY,201,Accounting and Accountancy I,"Ledebuhr, Jeffrey R",1,11,19,25,26,6,4,1,0,0,0,0,0,0,3.29
ACCY,201,Accounting and Accountancy I,"Ledvora, Joseph A",3,11,9,11,9,10,7,5,3,0,5,0,1,0,2.91
ACCY,201,Accounting and Accountancy I,"Leman, Grant W",3,9,10,7,2,8,3,2,7,0,4,0,2,0,2.84
ACCY,201,Accounting and Accountancy I,"Lim, Young K",46,20,34,14,14,8,8,4,2,0,0,0,0,0,3.52
ACCY,201,Accounting and Accountancy I,"Lin, Jonathan T",1,8,11,19,4,10,10,4,2,0,7,0,0,0,2.89
ACCY,201,Accounting and Accountancy I,"Lowry, Carolyn M",24,47,26,24,12,11,8,3,2,0,4,0,1,0,3.44
ACCY,201,Accounting and Accountancy I,"Mammen, Gilbert G",4,10,11,8,8,6,6,4,2,0,2,0,2,0,3.02
ACCY,201,Accounting and Accountancy I,"McConnell, Kelly R",5,22,11,9,8,8,4,2,3,0,2,0,2,0,3.21
ACCY,201,Accounting and Accountancy I,"McDermott, John P",6,11,9,1,5,1,5,4,7,0,8,0,3,2,2.6
ACCY,201,Accounting and Accountancy I,"McNamara, Sean M",1,11,11,14,13,7,6,2,5,0,2,0,1,1,2.99
ACCY,201,Accounting and Accountancy I,"Michelson, Mark J",13,30,29,22,13,13,16,3,1,0,4,0,13,2,2.98
ACCY,201,Accounting and Accountancy I,"Mora, Bradley J",9,11,14,7,6,3,1,1,1,0,3,0,2,0,3.27
ACCY,201,Accounting and Accountancy I,"Moradi, Maseeh",1,6,13,20,12,12,4,2,4,0,2,0,0,0,3.06
ACCY,201,Accounting and Accountancy I,"Nagle, Amy E",17,31,22,15,18,19,7,6,8,0,2,0,11,4,2.94
ACCY,201,Accounting and Accountancy I,"Patzik, Benjamin M",10,23,17,7,8,7,3,1,2,0,0,0,0,0,3.5
ACCY,201,Accounting and Accountancy I,"Peckler, Rachel L",24,48,35,19,10,11,9,1,2,0,1,0,1,0,3.52
ACCY,201,Accounting and Accountancy I,"Pelella, Andrea E",2,7,15,21,8,13,7,2,1,0,2,0,1,1,3.05
ACCY,201,Accounting and Accountancy I,"Pietura, Magdalena",11,24,23,12,15,13,9,9,7,0,13,0,13,4,2.66
ACCY,201,Accounting and Accountancy I,"Pollard, Robert C",13,24,31,15,15,15,10,3,9,0,2,0,11,3,2.93
ACCY,201,Accounting and Accountancy I,"Rallo, Tyler M",5,8,7,9,5,7,2,7,2,0,0,0,1,4,2.87
ACCY,201,Accounting and Accountancy I,"Schertz, Michael K",38,52,51,21,32,21,7,4,6,0,2,0,0,0,3.44
ACCY,201,Accounting and Accountancy I,"Schwarzhaupt, Michael C",12,34,18,16,14,20,8,6,4,0,2,0,14,1,2.94
ACCY,201,Accounting and Accountancy I,"Sester, Mallory L",0,10,20,15,19,12,6,1,1,0,6,0,4,0,2.94
ACCY,201,Accounting and Accountancy I,"Shannon, Ryan P",9,9,6,7,6,13,1,3,3,0,2,0,2,1,2.99
ACCY,201,Accounting and Accountancy I,"Siemienas, Lauren M",11,12,16,14,12,4,3,2,1,0,0,0,0,0,3.42
ACCY,201,Accounting and Accountancy I,"Silver, Paige R",5,14,18,8,14,5,7,7,1,0,2,0,1,1,3.11
ACCY,201,Accounting and Accountancy I,"Smigielski, Michael A",0,5,12,12,8,21,7,2,4,0,2,0,1,1,2.84
ACCY,201,Accounting and Accountancy I,"Sothikhoun, Alain R",9,16,15,14,6,7,6,0,2,0,0,0,0,1,3.36
ACCY,201,Accounting and Accountancy I,"Spread, Samuel C",38,32,40,10,14,16,2,0,2,0,6,0,0,0,3.49
ACCY,201,Accounting and Accountancy I,"Stefani, Marisa A",1,6,12,9,12,9,4,4,8,0,7,0,1,0,2.74
ACCY,201,Accounting and Accountancy I,"Storto, Joseph M",10,12,20,10,6,5,1,4,2,0,3,0,2,0,3.24
ACCY,201,Accounting and Accountancy I,"Strukoff, Ryan S",11,24,27,30,28,17,11,7,6,0,7,0,1,0,3.11
ACCY,201,Accounting and Accountancy I,"Sylvestri, Ross J",2,7,10,3,8,10,1,13,4,0,5,0,1,1,2.67
ACCY,201,Accounting and Accountancy I,"Tong, Shuqing",9,18,13,5,6,7,5,3,3,0,0,0,1,2,3.22
ACCY,201,Accounting and Accountancy I,"Valentine, Courtney M",8,14,17,4,9,9,5,1,4,0,5,0,4,0,3.0
ACCY,201,Accounting and Accountancy I,"Waddock, Madeleine K",10,11,20,9,6,9,7,1,2,0,4,0,4,2,3.0
ACCY,201,Accounting and Accountancy I,"Wojnarowski, Michelle L",6,7,7,6,5,12,3,4,3,0,1,0,3,1,2.86
ACCY,201,Accounting and Accountancy I,"Ye, Yina",7,6,6,4,6,8,5,2,4,0,3,0,5,4,2.53
ACCY,201,Accounting and Accountancy I,"Zhang, Fangye",7,13,9,9,7,5,3,4,1,0,7,0,1,0,3.05
ACCY,201,Accounting and Accountancy I,"Zhao, Weiran",1,5,13,20,9,11,8,4,3,0,3,0,1,0,2.94
ACCY,201,Accounting and Accountancy I,"Zhu, Xiaoxiao",10,16,10,2,6,7,6,4,3,0,6,0,7,1,2.78
ACCY,202,Accounting and Accountancy II,"Agapito, Christina N",12,20,12,35,28,7,12,10,6,0,4,0,0,2,3.06
ACCY,202,Accounting and Accountancy II,"Arvin, Kyle C",6,19,2,20,18,6,1,2,2,0,1,0,1,0,3.26
ACCY,202,Accounting and Accountancy II,"Balkan, Alexander C",10,11,5,25,11,7,1,1,1,0,1,0,0,1,3.3
ACCY,202,Accounting and Accountancy II,"Bobbitt, Lindsay L",5,19,5,19,24,4,4,5,1,0,1,0,0,1,3.21
ACCY,202,Accounting and Accountancy II,"Bradley, Kellie R",5,47,10,28,36,7,6,8,2,0,1,0,0,0,3.33
ACCY,202,Accounting and Accountancy II,"Cantieri, Kristen E",7,8,2,14,11,4,6,1,3,0,0,0,1,0,3.13
ACCY,202,Accounting and Accountancy II,"Chen, Monica S",3,10,4,21,11,4,4,3,2,0,0,0,0,0,3.21
ACCY,202,Accounting and Accountancy II,"Coady, Jennifer J",3,7,6,11,15,10,4,3,5,0,1,0,0,0,3.0
ACCY,202,Accounting and Accountancy II,"Crinion, Maureen P",2,27,3,11,19,3,6,5,0,0,1,0,0,0,3.29
ACCY,202,Accounting and Accountancy II,"Dettloff, Kevin R",8,45,7,23,25,8,1,3,2,0,1,0,2,0,3.39
ACCY,202,Accounting and Accountancy II,"Diamond, Joseph W",2,19,1,16,16,2,5,7,0,0,0,0,0,0,3.24
ACCY,202,Accounting and Accountancy II,"Ducker, Merik R",6,20,4,23,14,7,6,2,2,0,2,0,0,2,3.17
ACCY,202,Accounting and Accountancy II,"Fertl, Christina A",1,17,1,9,12,4,3,5,1,0,2,0,0,1,3.09
ACCY,202,Accounting and Accountancy II,"Foley, John M",3,15,2,12,22,5,4,13,2,0,0,0,0,0,3.04
ACCY,202,Accounting and Accountancy II,"Foley, Paul R",15,9,0,26,9,9,2,4,0,0,1,0,2,0,3.21
ACCY,202,Accounting and Accountancy II,"Forsberg, Brian J",11,14,2,29,8,10,0,2,2,0,0,0,2,0,3.27
ACCY,202,Accounting and Accountancy II,"Grembowski, Tessa V",21,39,7,22,19,8,2,6,2,0,0,0,6,2,3.26
ACCY,202,Accounting and Accountancy II,"Hamilton, Lori C",1,21,1,21,23,3,5,3,1,0,1,0,0,1,3.2
ACCY,202,Accounting and Accountancy II,"Harris, Matthew C",2,5,4,17,15,5,4,0,1,0,3,0,1,0,3.01
ACCY,202,Accounting and Accountancy II,"Haupt, Elizabeth W",5,29,5,23,14,6,1,10,0,0,1,0,0,0,3.32
ACCY,202,Accounting and Accountancy II,"Jackson, Luke R",4,60,8,50,28,14,10,8,4,0,2,0,0,0,3.3
ACCY,202,Accounting and Accountancy II,"Jang, Paul H",7,17,3,23,20,2,3,1,2,0,2,0,0,0,3.29
ACCY,202,Accounting and Accountancy II,"Jin, Yiyun",16,33,11,20,25,8,3,6,6,0,3,0,3,2,3.17
ACCY,202,Accounting and Accountancy II,"Koziel, Mark C",5,17,3,18,3,8,2,5,1,0,1,0,0,0,3.28
ACCY,202,Accounting and Accountancy II,"LaRoe, Rebecca F",2,22,1,12,9,0,1,3,0,0,0,0,0,0,3.5
ACCY,202,Accounting and Accountancy II,"Ladd, Dylan T",11,38,14,41,20,9,7,7,2,0,1,0,1,0,3.33
ACCY,202,Accounting and Accountancy II,"Le, Nga H",5,35,15,30,29,6,8,9,10,0,5,0,1,1,3.09
ACCY,202,Accounting and Accountancy II,"Ledvora, Joseph A",4,17,1,21,18,5,3,2,3,0,0,0,0,0,3.26
ACCY,202,Accounting and Accountancy II,"Lie, Jeane Natalia",6,27,20,38,29,12,8,3,1,0,2,0,2,1,3.22
ACCY,202,Accounting and Accountancy II,"Lin, Jonathan T",7,19,4,15,11,4,8,1,2,0,0,0,0,0,3.33
ACCY,202,Accounting and Accountancy II,"Martin, Charles J",0,48,12,62,28,6,8,10,6,0,0,0,0,0,3.29
ACCY,202,Accounting and Accountancy II,"McConnell, Kelly R",7,27,1,13,10,4,0,1,1,0,0,0,1,0,3.5
ACCY,202,Accounting and Accountancy II,"McNamara, Sean M",2,22,5,18,9,5,0,4,2,0,1,0,1,1,3.24
ACCY,202,Accounting and Accountancy II,"Michael, David W",5,43,8,35,44,10,9,7,2,0,1,0,0,1,3.25
ACCY,202,Accounting and Accountancy II,"Miller, Bethany C",6,58,12,42,22,6,10,10,1,0,2,0,0,0,3.37
ACCY,202,Accounting and Accountancy II,"Miller, Michael J",3,19,3,30,18,4,2,5,1,0,0,0,0,0,3.29
ACCY,202,Accounting and Accountancy II,"Mokry, Jennifer A",2,16,1,17,17,4,4,5,2,0,1,0,0,0,3.15
ACCY,202,Accounting and Accountancy II,"Mora, Bradley J",5,19,5,15,10,3,3,5,1,0,0,0,0,0,3.35
ACCY,202,Accounting and Accountancy II,"Moradi, Maseeh",4,25,2,18,16,9,4,0,0,0,0,0,0,0,3.39
ACCY,202,Accounting and Accountancy II,"Mulvihill, Brian J",7,56,19,31,18,8,12,11,2,0,2,0,1,0,3.33
ACCY,202,Accounting and Accountancy II,"Patzik, Benjamin M",0,34,4,18,14,1,2,1,1,0,0,0,0,0,3.52
ACCY,202,Accounting and Accountancy II,"Pelella, Andrea E",7,23,1,19,15,7,0,2,2,0,2,0,0,0,3.33
ACCY,202,Accounting and Accountancy II,"Rallo, Tyler M",4,18,3,12,10,4,5,1,0,0,0,0,0,1,3.33
ACCY,202,Accounting and Accountancy II,"Reed, Paul M",0,22,2,14,17,2,4,6,1,0,0,0,1,0,3.21
ACCY,202,Accounting and Accountancy II,"Ruhmann, Kymberly C",0,20,6,26,14,8,4,4,4,0,2,0,0,0,3.16
ACCY,202,Accounting and Accountancy II,"Schraiber, Rebecca L",15,22,8,41,25,8,17,9,6,0,1,0,0,1,3.13
ACCY,202,Accounting and Accountancy II,"Shanahan, Michael J",4,24,2,28,20,6,7,2,2,0,1,0,2,0,3.2
ACCY,202,Accounting and Accountancy II,"Shannon, Ryan P",4,14,1,19,7,2,3,1,0,0,1,0,2,1,3.19
ACCY,202,Accounting and Accountancy II,"Shen, Haoqing",12,25,14,33,24,6,16,14,4,0,1,0,1,3,3.07
ACCY,202,Accounting and Accountancy II,"Silver, Paige R",8,8,4,13,13,4,4,6,2,0,1,0,0,0,3.13
ACCY,202,Accounting and Accountancy II,"Smigielski, Michael A",5,23,1,15,16,4,6,2,4,0,0,0,0,0,3.28
ACCY,202,Accounting and Accountancy II,"Sothikhoun, Alain R",3,14,3,18,25,2,2,7,1,0,0,0,0,0,3.2
ACCY,202,Accounting and Accountancy II,"Stieren, Brandon K",15,35,4,30,24,7,3,11,4,0,2,0,3,1,3.19
ACCY,202,Accounting and Accountancy II,"Storto, Joseph M",4,14,2,18,8,5,4,6,0,0,3,0,0,0,3.14
ACCY,202,Accounting and Accountancy II,"Tanner, Katherine E",1,27,2,30,11,2,4,9,0,0,0,0,1,0,3.28
ACCY,202,Accounting and Accountancy II,"Tong, Shuqing",8,15,2,18,9,3,2,1,2,0,0,0,1,2,3.24
ACCY,202,Accounting and Accountancy II,"Valentine, Courtney M",6,13,2,13,10,8,6,2,3,0,2,0,0,1,3.08
ACCY,202,Accounting and Accountancy II,"Waddock, Madeleine K",8,11,2,22,9,9,3,1,2,0,2,0,1,1,3.13
ACCY,202,Accounting and Accountancy II,"Wirt, Justin R",17,52,10,26,26,10,8,11,2,0,1,0,0,1,3.35
ACCY,202,Accounting and Accountancy II,"Wojnarowski, Michelle L",8,8,3,11,6,10,4,3,2,0,1,0,1,0,3.09
ACCY,202,Accounting and Accountancy II,"Wu, Tony Y",5,16,5,22,22,8,5,4,3,0,0,0,0,0,3.2
ACCY,202,Accounting and Accountancy II,"Ye, Xinxin",5,30,17,36,22,10,10,6,4,0,2,0,0,1,3.21
ACCY,301,Atg Measurement & Disclosure,"Altiero, Elizabeth C",0,7,8,7,4,2,0,0,0,0,0,0,0,0,3.5
ACCY,301,Atg Measurement & Disclosure,"Anderson, Spencer B",17,38,27,23,21,23,7,7,2,0,2,0,1,0,3.31
ACCY,301,Atg Measurement & Disclosure,"Asante Appiah, Bright",8,32,58,59,43,25,6,3,1,0,1,0,2,0,3.31
ACCY,301,Atg Measurement & Disclosure,"Brown, Clifton E",1,3,23,22,31,17,2,5,1,0,0,0,0,0,3.13
ACCY,301,Atg Measurement & Disclosure,"Burke, Joseph W",2,6,10,22,14,4,0,0,0,0,0,0,0,0,3.36
ACCY,301,Atg Measurement & Disclosure,"Chen, Po-Chang",18,40,24,28,30,4,8,0,2,0,0,0,0,0,3.48
ACCY,301,Atg Measurement & Disclosure,"Davis, Gregory L",31,43,17,18,25,18,9,6,2,3,0,2,4,1,3.26
ACCY,301,Atg Measurement & Disclosure,"Finnegan, Thomas",5,79,102,117,77,33,14,7,1,1,0,0,0,3,3.35
