Subject,Number,Course_Title,Primary_Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,avg_prof_gpa
CEE,465,Design of Structural Systems,"LaFave, James M",2,15,9,17,17,7,0,0,0,0,0,0,0,0,3.39
CEE,465,Design of Structural Systems,"Lafave, James M",14,73,65,51,50,12,0,0,0,0,0,0,0,0,3.54
CEE,467,Masonry Structures,"Abrams, Daniel P",0,19,16,16,15,16,13,6,1,2,1,0,0,0,3.08
CEE,468,Prestressed Concrete,"Andrawes, Bassem O",14,69,44,35,14,16,1,12,1,0,0,0,0,0,3.51
CEE,468,Prestressed Concrete,"Gurfinkel, German",12,9,13,6,4,0,0,2,0,0,0,0,0,0,3.64
CEE,469,Wood Structures,"Gurfinkel, German",25,41,27,15,13,4,0,5,3,0,2,2,0,0,3.51
CEE,470,Structural Analysis,"Dodds, Robert H",9,4,13,11,4,8,5,1,5,0,1,0,0,0,3.16
CEE,470,Structural Analysis,"Duarte, Carlos A",18,70,70,96,85,48,49,16,7,3,4,0,6,0,3.13
CEE,470,Structural Analysis,"Elbanna, Ahmed",13,49,10,15,6,3,2,1,0,0,0,0,0,0,3.71
CEE,470,Structural Analysis,"Kwack, Jaehyuk",14,16,10,14,8,10,16,4,4,0,0,0,0,0,3.19
CEE,470,Structural Analysis,"Lopez-Pamies, Oscar",15,20,25,33,15,21,12,14,2,2,2,2,0,0,3.12
CEE,470,Structural Analysis,"Pecknold, David",1,5,4,3,7,10,1,6,1,0,1,0,0,0,2.91
CEE,471,Structural Mechanics,"Duarte, Carlos A",0,13,8,21,23,8,2,0,1,0,0,0,0,0,3.26
CEE,471,Structural Mechanics,"Lopez-Pamies, Oscar",16,52,37,69,107,62,28,16,10,12,5,0,5,2,2.99
CEE,471,Structural Mechanics,"Masud, Arif",4,30,48,44,12,4,0,0,0,0,0,0,2,0,3.51
CEE,472,Structural Dynamics I,"Spencer, B F",82,193,97,126,88,59,22,8,1,0,2,0,0,2,3.48
CEE,480,Foundation Engineering,"Long, James H",1,8,7,10,2,2,2,2,2,0,1,1,0,0,3.16
CEE,480,Foundation Engineering,"Stark, Timothy D",0,25,22,22,41,38,29,18,23,0,2,0,0,0,2.83
CEE,483,Soil Mechanics and Behavior,"Mesri, Gholamreza",4,130,22,9,84,0,0,76,16,0,12,1,5,1,3.03
CEE,484,Applied Soil Mechanics,"Olson, Scott M",12,26,27,35,35,14,8,7,2,1,2,0,0,0,3.25
CEE,491,Decision and Risk Analysis,"Gardoni, Paolo",21,83,55,35,34,19,5,19,2,1,1,0,11,1,3.28
CEE,491,Decision and Risk Analysis,"Song, Junho",4,15,9,1,0,0,0,0,0,0,0,0,0,0,3.87
CEE,493,Sustainable Design Eng Tech,"Guest, Jeremy S",5,57,17,5,1,0,0,0,0,0,0,0,0,0,3.88
CEE,498,Constr Equipment and Methods,"Young, Brent D",0,106,29,7,0,1,0,1,1,0,0,0,0,0,3.86
CEE,498,Energy Water Sustainability,"Guest, Jeremy S",8,74,31,16,3,2,1,0,0,0,0,0,0,0,3.79
CEE,498,Geographic Information Systems,"Peschel, Joshua M",0,18,3,2,1,0,0,0,1,0,0,0,1,0,3.63
CEE,498,High Speed Rail Constr Mgnt,"Kao, Tsung-Chung",4,5,7,3,7,2,0,0,0,0,0,0,0,0,3.5
CEE,498,High Speed Rail Engineering,"Kao, Tsung-Chung",1,3,15,6,3,4,1,0,1,0,0,0,0,0,3.37
CEE,498,High Speed Rail Planning,"Saat, Mohd R",8,14,3,0,0,1,0,0,0,0,0,0,0,0,3.91
CEE,498,High-Speed Rail Planning,"Kao, Tsung-Chung",7,5,7,4,0,1,0,0,0,0,0,0,0,0,3.74
CEE,498,Special Topics,"Edwards, John R",1,12,7,3,0,0,0,0,0,0,0,0,0,0,3.81
CEE,498,Special Topics,"Guest, Jeremy S",1,14,14,1,0,0,1,0,0,0,0,0,0,0,3.77
CEE,498,Special Topics,"Kao, Tsung-Chung",6,8,18,4,6,4,0,0,0,0,0,0,0,0,3.57
CEE,498,Special Topics,"Ouyang, Yanfeng",1,7,7,2,1,0,2,1,0,0,0,0,0,0,3.52
CEE,498,Special Topics,"Work, Daniel",21,59,28,7,2,4,1,3,1,1,1,0,0,0,3.71
CEE,498,Special Topics,"Young, Brent D",1,68,3,2,0,1,0,0,0,0,0,0,0,0,3.95
CEE,498,Sustainable Infrastructure Sys,"Work, Daniel",3,24,14,4,0,0,0,0,0,0,0,0,0,0,3.84
CEE,498,Water Technology & Policy,"Stillwell, Ashlynn S",2,6,7,6,2,0,0,1,0,0,0,0,0,0,3.57
CEE,498,Wind Engineering,"Lombardo, Franklin T",0,21,0,3,13,0,0,0,0,0,0,0,0,0,3.59
CEE,506,Pavement Design II,"Roesler, Jeffery R",5,10,20,11,13,4,3,0,1,0,0,0,0,1,3.36
CEE,507,Repair of Civil Infrastructure,"Lange, David A",4,14,5,2,4,1,1,0,0,0,0,0,0,0,3.68
CEE,508,Pavement Evaluation and Rehab,"Al-Qadi, Imad L",3,34,31,27,19,7,1,3,0,0,0,0,0,0,3.49
CEE,509,Transportation Soils,"Tutumluer, Erol",3,7,1,6,4,1,1,0,0,0,0,0,0,0,3.51
CEE,512,Logistics Systems Analysis,"Ouyang, Yanfeng",6,21,17,11,12,2,1,0,0,0,0,0,0,0,3.58
CEE,515,Traffic Flow Theory,"Benekohal, Rahim F",2,4,5,7,7,4,0,0,0,0,0,0,0,0,3.36
CEE,517,Traffic Signal Systems,"Benekohal, Rahim F",2,5,5,2,4,4,1,0,0,0,0,0,0,0,3.39
CEE,524,Construction Law,"Stark, Timothy D",0,12,8,13,0,0,0,0,0,0,0,0,0,0,3.66
CEE,525,Construction Case Studies,"Liu, Liang Y",7,184,139,56,10,4,1,2,0,0,0,0,1,0,3.73
